chid,depvar,alt,ic,oc
16,0,er,1092.4,380.19
16,0,gc,768.08,198.39
16,1,gr,1114.1,160.99
16,0,hp,1108.4,229.37
17,0,ec,821.79,432.58
17,0,er,969.64,446.38
17,0,gc,723.92,160.4
17,0,gr,929.7,147.08
17,1,hp,1058,209.57
18,0,ec,696.89,362.99
18,0,er,853.82,448.43
18,0,gc,630.81,147.92
18,0,gr,727.37,103.69
18,1,hp,779.94,165.22
19,0,ec,572.3,341.16
19,1,er,664.22,290.74
19,0,gc,555.44,106.53
19,0,gr,775.24,106.52
19,0,hp,707.79,139.89
20,0,ec,925.62,561.69
20,0,er,1140,528.22
20,1,gc,899.87,213.84
20,0,gr,1214.2,186.6
20,0,hp,1155.3,251.16
21,1,ec,788.07,440.99
21,0,er,799.52,286.29
21,0,gc,657.54,176.15
21,0,gr,892.16,148.93
21,0,hp,1083.1,203.87
22,0,ec,934.75,496.77
22,0,er,1009.5,414.79
22,0,gc,761.29,199.84
22,1,gr,1034.8,155.97
22,0,hp,1192.1,233.74
23,0,ec,619.65,417.32
23,0,er,880.97,362.24
23,1,gc,575.07,109.94
23,0,gr,865.23,130.64
23,0,hp,879.44,196.12
24,0,ec,805.29,599.15
24,0,er,806.59,389.6
24,0,gc,830.08,188.69
24,0,gr,920.85,146.41
24,1,hp,1162.8,220.51
25,0,ec,943.05,577.2
25,0,er,1130.5,510.66
25,1,gc,974.55,206.99
25,0,gr,1047.2,174.96
25,0,hp,1196.8,217.19
26,0,ec,882.55,527.88
26,0,er,1187.9,455.8
26,0,gc,737.47,207.36
26,1,gr,1042.7,145.48
26,0,hp,1055,265.62
27,0,ec,869.65,486.99
27,0,er,942.49,427.11
27,1,gc,803.75,172.26
27,0,gr,921.48,162.25
27,0,hp,962.02,205.72
28,1,ec,991.82,584.83
28,0,er,913.32,473.1
28,0,gc,872.17,185.3
28,0,gr,927.82,182.66
28,0,hp,1117.6,238.28
29,1,ec,724.01,443.82
29,0,er,993.25,440.21
29,0,gc,690.95,147.89
29,0,gr,587.58,135.81
29,0,hp,981.73,191.44
30,0,ec,805.08,540.32
30,0,er,941.41,436.33
30,1,gc,720.41,174.76
30,0,gr,969.83,164.62
30,0,hp,1159.4,212.74
31,0,ec,838.01,519.27
31,0,er,1144.4,496.69
31,1,gc,677.05,197.23
31,0,gr,918.54,156.81
31,0,hp,988.94,239.64
32,0,ec,671.78,422.32
32,0,er,976.01,412.46
32,0,gc,665.07,150.21
32,1,gr,876.29,146.17
32,0,hp,723.81,214.03
33,0,ec,1030.3,600.58
33,0,er,1153.2,550.22
33,0,gc,974.53,186.48
33,1,gr,1264.3,194.23
33,0,hp,1271.9,248.47
34,0,ec,785.95,535.48
34,0,er,963.54,472.71
34,1,gc,714.53,201.48
34,0,gr,956.83,170.79
34,0,hp,1091.7,235.78
35,0,ec,689.1,419.6
35,0,er,876.97,365.16
35,1,gc,530.05,157.24
35,0,gr,757.67,130.44
35,0,hp,822.9,149.2
36,0,ec,918.92,472.24
36,0,er,897.8,421.59
36,1,gc,687.34,165.15
36,0,gr,776.77,151.81
36,0,hp,898.21,162.02
37,0,ec,618.3,447.7
37,0,er,819.38,342.36
37,0,gc,635.2,148.94
37,1,gr,825.44,129.25
37,0,hp,942.03,166.67
38,0,ec,891.58,493.19
38,0,er,1070.1,436.25
38,1,gc,651.67,171.33
38,0,gr,847.01,158.73
38,0,hp,1087.4,234.78
39,0,ec,899,415.94
39,0,er,1060.2,473.65
39,1,gc,685.47,171.5
39,0,gr,912.23,145.07
39,0,hp,1109.5,233.63
40,0,ec,776.67,491.1
40,1,er,1054,432.58
40,0,gc,790.89,185.91
40,0,gr,1046.4,166.15
40,0,hp,1234.6,206.5
41,0,ec,788.79,527.18
41,0,er,833.05,400.46
41,1,gc,785.89,180.3
41,0,gr,1008.6,143.57
41,0,hp,752.91,247.12
42,0,ec,891.47,590.57
42,0,er,1148.3,580.73
42,0,gc,943.98,237.11
42,1,gr,1086.5,170.95
42,0,hp,1401.2,254.61
43,0,ec,828.73,432.42
43,0,er,938.83,399.79
43,1,gc,579.96,152.09
43,0,gr,834.61,149.71
43,0,hp,1025.7,189.1
44,0,ec,874.67,434.61
44,0,er,966.34,438.07
44,1,gc,858.84,188.06
44,0,gr,937.65,159.64
44,0,hp,1138.1,230.64
45,0,ec,796.43,455.08
45,0,er,1054.4,409.72
45,1,gc,689.48,149.06
45,0,gr,961.55,156.24
45,0,hp,976.77,196.88
46,0,ec,938.58,486.87
46,0,er,1098.1,466.19
46,1,gc,937.94,183.58
46,0,gr,962.07,162.36
46,0,hp,1124.5,232.35
47,0,ec,588.55,386.33
47,1,er,810.51,296.41
47,0,gc,549.58,155.71
47,0,gr,761.69,120.48
47,0,hp,728.21,120.97
48,0,ec,825.11,471.27
48,0,er,1143.9,465.6
48,1,gc,806.58,201.69
48,0,gr,1116.2,168.69
48,0,hp,1209.9,229.5
49,0,ec,828.27,546.9
49,0,er,929.43,485.04
49,1,gc,773.16,204.12
49,0,gr,1016.4,187.77
49,0,hp,1249.9,210.02
50,0,ec,733.4,470.23
50,0,er,1012.7,511.62
50,1,gc,814.5,189.52
50,0,gr,935.43,180.21
50,0,hp,990.96,228.67
51,0,ec,754.26,417.82
51,0,er,994.12,431.46
51,1,gc,785.99,151.78
51,0,gr,940.63,155.84
51,0,hp,943.08,212.79
52,0,ec,836.85,519.74
52,0,er,1026.5,372.3
52,1,gc,955.85,195.4
52,0,gr,944.77,163.78
52,0,hp,979.49,226.16
53,0,ec,963.76,559.93
53,0,er,1278.3,566.55
53,1,gc,879.47,203.06
53,0,gr,1208.5,189.06
53,0,hp,1188.8,253.22
54,0,ec,751.67,549.81
54,0,er,906.09,351.46
54,1,gc,793.47,163.62
54,0,gr,859.34,160.47
54,0,hp,923.25,194.17
55,0,ec,1021.7,539.79
55,0,er,1162.7,487.35
55,0,gc,793.14,184.05
55,0,gr,961,170.22
55,1,hp,1203.3,249.01
56,0,ec,843.18,439.7
56,0,er,884.68,376.64
56,0,gc,708.19,142.82
56,1,gr,774.01,139.45
56,0,hp,1106.2,169.36
57,0,ec,625.26,416.16
57,0,er,736.03,366.49
57,1,gc,620.45,166.47
57,0,gr,737.17,145.17
57,0,hp,1119.4,225.75
58,0,ec,970.49,594.04
58,0,er,1330.1,594.01
58,0,gc,1029.1,232.62
58,0,gr,1292,191.89
58,1,hp,1265.4,289.06
59,0,ec,727.13,395.2
59,0,er,878.61,399.87
59,1,gc,749.66,165.91
59,0,gr,869.27,145.12
59,0,hp,905.96,191.88
60,0,ec,762.51,437.1
60,0,er,996.61,482.21
60,1,gc,736.2,177.04
60,0,gr,922.14,165.5
60,0,hp,1053.5,235.23
61,0,ec,747.32,458.55
61,0,er,1130.9,340.95
61,1,gc,680.33,154.82
61,0,gr,860.08,134.91
61,0,hp,848.91,171.98
62,0,ec,608.57,394.54
62,0,er,810.97,407.61
62,1,gc,667.29,157.71
62,0,gr,587.15,138.7
62,0,hp,935.99,187.03
63,0,ec,937.96,555.18
63,0,er,1100.5,426.75
63,1,gc,882.05,177.27
63,0,gr,1076.1,164.38
63,0,hp,1113.6,226.88
64,0,ec,912.46,487.84
64,0,er,950.35,465
64,1,gc,787.53,186.34
64,0,gr,1038.3,165.57
64,0,hp,1167.5,223.02
65,0,ec,805.94,523.39
65,0,er,1304,462.51
65,0,gc,859.79,192.97
65,1,gr,1148,181.05
65,0,hp,1121.9,226.53
66,0,ec,790.89,481.81
66,0,er,1115.9,421.19
66,1,gc,790.11,191.43
66,0,gr,838.37,164.08
66,0,hp,1099.3,219.55
67,0,ec,743.31,408.74
67,0,er,856.94,393.27
67,1,gc,787.87,174.64
67,0,gr,793.57,160.72
67,0,hp,891.41,209.99
68,0,ec,702.5,394.83
68,0,er,752.47,276.6
68,1,gc,623.39,150.24
68,0,gr,663.42,113.03
68,0,hp,906.87,161.34
69,0,ec,901.4,581.12
69,0,er,1197.4,511.4
69,0,gc,905.25,235.92
69,1,gr,1111.1,185.77
69,0,hp,1182.8,247.48
70,0,ec,971.55,488.99
70,0,er,1043.9,444.21
70,1,gc,784.09,155.01
70,0,gr,968.43,149.54
70,0,hp,1219.9,218.31
71,0,ec,612.24,381.86
71,0,er,795.83,340.06
71,0,gc,677.8,106.55
71,1,gr,798.21,111.86
71,0,hp,911.19,168.31
72,0,ec,780.07,483.15
72,0,er,946.68,408.11
72,1,gc,787.07,207.62
72,0,gr,916.5,148.84
72,0,hp,1018.7,194.6
73,0,ec,776.18,404.16
73,1,er,824.73,410.78
73,0,gc,717.42,171.83
73,0,gr,784.22,133.72
73,0,hp,797.2,198.31
74,0,ec,804.51,436.56
74,0,er,831.37,466.91
74,0,gc,720.32,154.45
74,0,gr,800.6,148.41
74,1,hp,1000.6,233.45
75,0,ec,683.38,366.14
75,1,er,865.94,344.24
75,0,gc,635.33,136.59
75,0,gr,739,104.56
75,0,hp,943.68,154.9
76,0,ec,994.11,540.44
76,0,er,1081.8,412.44
76,1,gc,823.32,161.57
76,0,gr,950.89,171.33
76,0,hp,1003.9,246.85
77,0,ec,696.87,390.06
77,0,er,916.09,361
77,1,gc,803.38,144.71
77,0,gr,824.38,146.18
77,0,hp,915.55,210.77
78,0,ec,680.51,478.64
78,0,er,1191.8,365.71
78,1,gc,833.51,146.5
78,0,gr,821.15,150.42
78,0,hp,1087.2,185.03
79,0,ec,830.42,540.67
79,1,er,1059.3,350.14
79,0,gc,797.86,176.99
79,0,gr,912.69,149.46
79,0,hp,1072.3,233.35
80,0,ec,829.45,483.75
80,0,er,1159.6,419.31
80,0,gc,849.92,186.08
80,1,gr,960.28,154.22
80,0,hp,1269.8,243.39
81,0,ec,721.85,451.02
81,0,er,921.97,393.07
81,1,gc,781.19,145.09
81,0,gr,700.08,139.21
81,0,hp,811.22,215.63
82,0,ec,602.71,432.28
82,0,er,790.37,294.28
82,1,gc,557.31,120.96
82,0,gr,599.31,108.32
82,0,hp,730.41,125.56
83,0,ec,845.69,471.2
83,0,er,866.67,429.95
83,1,gc,716.35,174.14
83,0,gr,787.85,145.18
83,0,hp,992.42,172.24
84,0,ec,798.54,490.3
84,0,er,948.05,474.72
84,0,gc,836.62,194.54
84,0,gr,843.15,160.7
84,1,hp,1000.6,200.57
85,0,ec,757.17,464.56
85,0,er,903.52,424.56
85,0,gc,710.34,137.9
85,1,gr,740.48,141.86
85,0,hp,804.28,175.82
86,0,ec,800.49,491.37
86,0,er,1051.1,447.05
86,1,gc,804.94,174.56
86,0,gr,867.24,152.86
86,0,hp,1160.1,246.3
87,0,ec,890.49,442.27
87,0,er,923.99,387.07
87,1,gc,780.72,183.72
87,0,gr,837.99,173.93
87,0,hp,1123.8,253.97
88,0,ec,850.44,413.78
88,0,er,990.48,398.14
88,1,gc,659.43,143.17
88,0,gr,881.69,138.19
88,0,hp,1073.6,214.69
89,0,ec,834.43,420.26
89,0,er,845.59,393.68
89,1,gc,717.84,151.82
89,0,gr,888.67,152.33
89,0,hp,908.34,195.72
90,0,ec,573.53,411.4
90,0,er,670.05,383.81
90,1,gc,505.93,125.04
90,0,gr,733.97,110.92
90,0,hp,949.44,158.38
91,0,ec,689.92,499.32
91,0,er,964.66,395.14
91,0,gc,666.2,144.44
91,0,gr,765.25,144.31
91,1,hp,1070.4,227.88
92,0,ec,704.06,491.24
92,0,er,1131.4,461.14
92,1,gc,804.6,146.29
92,0,gr,925.58,143.9
92,0,hp,1129.2,251.66
93,0,ec,692.2,496.55
93,0,er,848.99,414.58
93,1,gc,673.69,144.01
93,0,gr,814.08,138.18
93,0,hp,902.39,174.22
94,0,ec,993.06,516.69
94,0,er,1075.7,457.27
94,0,gc,807.59,181.42
94,1,gr,1010.9,161.65
94,0,hp,1131,265.34
95,0,ec,948.83,607.08
95,0,er,1031.8,488.6
95,1,gc,830.98,182.24
95,0,gr,1033.8,172.94
95,0,hp,1048.8,227.72
96,0,ec,826.91,560.33
96,0,er,993.83,478.5
96,1,gc,906.69,179.65
96,0,gr,1039.4,183.94
96,0,hp,1125.7,233.94
97,0,ec,700.09,435.62
97,0,er,856.06,438.67
97,1,gc,682.7,142.33
97,0,gr,844.81,137.7
97,0,hp,867.33,200.77
98,0,ec,763.54,404.11
98,0,er,980.45,397.23
98,1,gc,672.11,169.22
98,0,gr,1017.1,132.12
98,0,hp,1033.1,242.22
99,0,ec,977.49,556.5
99,0,er,1290.7,496.1
99,1,gc,816.25,200.79
99,0,gr,942.39,161.42
99,0,hp,1226.6,250.06
100,0,ec,772.38,527.28
100,0,er,862.07,399.32
100,1,gc,723.46,158.58
100,0,gr,710,156.69
100,0,hp,957.32,227.16
101,0,ec,1034.7,552.32
101,0,er,1185.4,528.56
101,1,gc,898.37,206.17
101,0,gr,1173.4,191.31
101,0,hp,1244.6,230.37
102,0,ec,857.21,393.83
102,0,er,1072.5,378.97
102,1,gc,563.79,139.48
102,0,gr,789.27,136.32
102,0,hp,852.05,164.53
103,0,ec,773.6,482.73
103,0,er,1023.6,455.12
103,1,gc,721.78,176.34
103,0,gr,1016.5,132.86
103,0,hp,1013.1,220.91
104,0,ec,941.68,503.84
104,1,er,934.18,443.27
104,0,gc,806.66,183.5
104,0,gr,731.43,163.86
104,0,hp,1016.8,230.81
105,1,ec,780.37,455.62
105,0,er,902.04,399.82
105,0,gc,764.82,160.79
105,0,gr,841.17,157.28
105,0,hp,1097.8,209.28
106,0,ec,782.98,486.28
106,0,er,1039.1,447.3
106,1,gc,699.33,181.75
106,0,gr,926.86,167.71
106,0,hp,1064.7,240.34
107,0,ec,751.48,426.81
107,0,er,909.56,431.32
107,1,gc,691.55,158.3
107,0,gr,966.93,142.77
107,0,hp,819.34,195.9
108,0,ec,832.19,392.19
108,0,er,961.74,396.08
108,1,gc,593.03,148.62
108,0,gr,830.11,140.45
108,0,hp,1032.7,195.99
109,0,ec,830.27,512.74
109,0,er,963.76,471.12
109,0,gc,878.07,196.27
109,0,gr,1075.9,195.07
109,1,hp,1272.9,205.3
110,0,ec,889.23,568.84
110,0,er,1107.1,489.56
110,1,gc,849.85,172.15
110,0,gr,865.2,153.22
110,0,hp,946.43,230.63
111,0,ec,830.64,557.68
111,0,er,946.4,434.39
111,1,gc,846.58,182.25
111,0,gr,933.31,138.43
111,0,hp,989.79,212.26
112,0,ec,746.92,440.13
112,0,er,917.13,366.51
112,1,gc,722.34,160.97
112,0,gr,820.73,141.9
112,0,hp,742.53,171.04
113,0,ec,804.48,468.61
113,0,er,822.85,352.79
113,0,gc,633.62,146.89
113,0,gr,859.88,130.76
113,1,hp,892.85,188.4
114,0,ec,682.43,353.46
114,1,er,712.86,236.67
114,0,gc,665.87,163.27
114,0,gr,760.66,142.52
114,0,hp,743.13,184.17
115,1,ec,558.6,420.88
115,0,er,714.01,390.62
115,0,gc,644.92,160.75
115,0,gr,763.17,142.59
115,0,hp,1014,169.97
116,0,ec,781.41,489.76
116,0,er,966.06,313.51
116,1,gc,881.72,183.73
116,0,gr,834.74,174.38
116,0,hp,1058.7,193.82
117,0,ec,959.49,553.79
117,0,er,1146.7,428.3
117,1,gc,897.31,184.06
117,0,gr,993.38,166.4
117,0,hp,940.05,258.28
118,0,ec,816.38,511.18
118,0,er,1120,478.97
118,1,gc,840.91,169.91
118,0,gr,840.93,166.33
118,0,hp,1069.5,227.01
119,0,ec,860.01,530.38
119,0,er,1048.7,478.6
119,1,gc,857.49,180.38
119,0,gr,1044.8,160.26
119,0,hp,1225,226.16
120,0,ec,702.16,545.82
120,0,er,984.69,404.09
120,1,gc,741.95,155.61
120,0,gr,775.09,162.27
120,0,hp,849.63,214.44
121,0,ec,1115.3,631.81
121,0,er,1225.5,585.11
121,0,gc,918.09,224.73
121,1,gr,1163.4,175.07
121,0,hp,1244.4,236.85
122,0,ec,801.58,481.92
122,1,er,1125.4,442.36
122,0,gc,746.42,169.39
122,0,gr,791.99,176.56
122,0,hp,1118.2,223.81
123,0,ec,867.54,479.2
123,0,er,1004.8,445.86
123,1,gc,953.81,193.8
123,0,gr,914.01,186.6
123,0,hp,1184.7,250.95
124,0,ec,837.86,480.42
124,0,er,1027.6,422.81
124,1,gc,775.8,185.82
124,0,gr,786.18,149.99
124,0,hp,924.67,240.97
125,0,ec,792.1,467.16
125,0,er,1015.1,399.22
125,1,gc,669.15,178.94
125,0,gr,876.55,142.5
125,0,hp,1096.5,242.67
126,0,ec,1011.1,650.32
126,0,er,1142.5,538.2
126,1,gc,959.43,208.38
126,0,gr,1227.2,201.64
126,0,hp,1232.9,253.43
127,0,ec,959.82,409.16
127,0,er,937.12,403.31
127,1,gc,667.44,156.49
127,0,gr,949.36,172.01
127,0,hp,1017.2,212.98
128,0,ec,829.68,489.05
128,0,er,879.88,329.56
128,1,gc,776.23,157.99
128,0,gr,784.31,125.75
128,0,hp,1016.6,216.27
129,0,ec,825.94,485.75
129,0,er,949.07,416.63
129,1,gc,780.84,176.67
129,0,gr,816.53,151.26
129,0,hp,874.1,233.57
130,0,ec,699.84,472.75
130,0,er,875.49,375.23
130,0,gc,670.58,158.16
130,1,gr,817.37,158.33
130,0,hp,945.08,185.03
131,0,ec,875.86,506.65
131,0,er,942.76,430.72
131,1,gc,827.22,155.45
131,0,gr,1122,179.92
131,0,hp,920.93,212.9
132,0,ec,835,416.39
132,0,er,957.79,434.13
132,0,gc,870.04,192.51
132,1,gr,1004,157.92
132,0,hp,1112.4,223.88
133,1,ec,889.76,447.3
133,0,er,1028.2,430.39
133,0,gc,864.18,163.67
133,0,gr,857.69,161.75
133,0,hp,961.8,184.29
134,0,ec,746.42,561.85
134,0,er,1143.9,464.07
134,0,gc,746.18,185.37
134,1,gr,1132.6,170.24
134,0,hp,1126.8,226.74
135,0,ec,769.34,432.26
135,0,er,979.5,417.86
135,1,gc,742.61,172.01
135,0,gr,942.26,134.01
135,0,hp,955.22,201.25
136,0,ec,686.17,499.06
136,0,er,931.27,428.07
136,0,gc,733.2,160.83
136,1,gr,853.06,177.99
136,0,hp,993.43,240.04
137,0,ec,638.89,425.91
137,1,er,722.43,314.75
137,0,gc,658.86,106.31
137,0,gr,737.19,112.04
137,0,hp,759.69,170.71
138,1,ec,968.98,468.23
138,0,er,942.23,464.48
138,0,gc,948.68,197.13
138,0,gr,901.83,175.36
138,0,hp,1172.2,218.18
139,0,ec,746.87,456.03
139,0,er,851.91,416.61
139,1,gc,789.62,162.9
139,0,gr,805.89,122.62
139,0,hp,1009.3,207.57
140,0,ec,951.02,464.65
140,0,er,1082.1,511.75
140,1,gc,876.06,216.02
140,0,gr,965.53,176.66
140,0,hp,1259.6,226.36
141,0,ec,750.84,488.28
141,0,er,1066.3,386.17
141,0,gc,790,172.53
141,1,gr,930.1,154.99
141,0,hp,836.43,216.03
142,0,ec,817.23,476.01
142,0,er,1032.7,444.25
142,1,gc,704.92,173.88
142,0,gr,940.6,163.3
142,0,hp,1196.6,223.01
143,0,ec,825.8,436.69
143,1,er,898.65,434.84
143,0,gc,731.26,156.51
143,0,gr,958.45,166.31
143,0,hp,920.17,196.98
144,0,ec,751.55,510.11
144,0,er,1053.3,391.91
144,0,gc,748.62,140.8
144,0,gr,921.39,142.97
144,1,hp,1097.8,171.52
145,0,ec,761.5,434.12
145,0,er,1036.2,454.33
145,0,gc,829.5,147.7
145,0,gr,1006.4,136.23
145,1,hp,981.82,202.74
146,0,ec,1049.5,616.72
146,0,er,1196.7,426.6
146,0,gc,862.48,208.65
146,1,gr,966.9,173.89
146,0,hp,1174.5,219.37
147,0,ec,1037.2,566.59
147,0,er,1080.5,443.7
147,1,gc,858.69,208.01
147,0,gr,997.94,174.98
147,0,hp,1334.9,248.13
148,0,ec,1062.7,579.91
148,0,er,1143.4,439.09
148,0,gc,898.97,199.59
148,1,gr,932.3,169.23
148,0,hp,1218.7,269.68
149,0,ec,794.43,434.36
149,0,er,931.96,410.36
149,1,gc,638.31,162.31
149,0,gr,918.01,149.69
149,0,hp,950.49,197.05
150,0,ec,856.37,506.28
150,0,er,1143.6,476.85
150,1,gc,821.55,195.14
150,0,gr,1144.1,189.66
150,0,hp,1189.7,229.74
151,0,ec,834.49,443.52
151,0,er,869.79,385.83
151,0,gc,798.04,154.16
151,0,gr,919.13,138.55
151,1,hp,1043.9,191.99
152,0,ec,671.65,366.35
152,0,er,834.96,347.59
152,0,gc,780.24,132.09
152,1,gr,830.71,122.77
152,0,hp,1009.5,188.91
153,0,ec,847.34,474.76
153,0,er,880.88,446.05
153,0,gc,856.83,180.95
153,0,gr,877.33,148.17
153,1,hp,1038.1,248.99
154,0,ec,760.36,381
154,0,er,918.61,368.03
154,1,gc,710.57,145
154,0,gr,799.08,158.41
154,0,hp,808.43,208.48
155,0,ec,767.82,423.51
155,0,er,907.21,422.16
155,1,gc,762.4,168.49
155,0,gr,915.74,160.24
155,0,hp,1000.2,190.58
156,0,ec,872.04,543.87
156,0,er,1102.8,500.2
156,1,gc,905.16,190.87
156,0,gr,1134.9,209.18
156,0,hp,1151,252.74
157,0,ec,704.65,329.52
157,0,er,804.85,345.74
157,1,gc,726.41,84.016
157,0,gr,701.62,124.86
157,0,hp,756.42,188.9
158,0,ec,1035.7,577.5
158,0,er,1087.1,496.08
158,1,gc,1020.1,198.63
158,0,gr,1081.9,185.03
158,0,hp,1349,279.55
159,0,ec,826.93,576.16
159,0,er,1043.7,488.24
159,1,gc,912.62,192.91
159,0,gr,1197.4,176.93
159,0,hp,1268,225.51
160,1,ec,1049.3,562.42
160,0,er,1171.9,447.68
160,0,gc,905.5,216.21
160,0,gr,930.25,156.13
160,0,hp,1269.8,238.68
161,0,ec,745.71,403.66
161,0,er,1009.8,368.16
161,1,gc,823.14,143.98
161,0,gr,784.29,122.95
161,0,hp,794.77,194.95
162,0,ec,792.18,439.3
162,0,er,832.78,386.3
162,1,gc,626.92,161.75
162,0,gr,774.16,142.91
162,0,hp,902.89,198.63
163,0,ec,828.49,395.62
163,0,er,994.13,404.83
163,1,gc,730.04,168.92
163,0,gr,942.26,152.35
163,0,hp,977.65,169.81
164,1,ec,719.07,540.11
164,0,er,937.23,445.78
164,0,gc,737.34,180.92
164,0,gr,938.72,135.97
164,0,hp,1152.8,243.44
165,0,ec,875.09,405.75
165,0,er,1032.4,451.97
165,1,gc,750.5,157.88
165,0,gr,1071.3,152.81
165,0,hp,1080.1,219.14
166,1,ec,784.33,606.83
166,0,er,1009.8,466.33
166,0,gc,854.97,204.25
166,0,gr,932.54,148.74
166,0,hp,1026.4,254.63
167,0,ec,827.66,527.86
167,0,er,970.1,416.79
167,1,gc,795.37,171.5
167,0,gr,1061.8,150.81
167,0,hp,1122.5,224.5
168,0,ec,769.52,493.3
168,0,er,883.17,388.91
168,1,gc,699.04,172.32
168,0,gr,752.94,155.6
168,0,hp,972.78,214.3
169,0,ec,917.09,509.22
169,0,er,1025.7,464.06
169,1,gc,790.18,194.12
169,0,gr,1085.4,176.79
169,0,hp,972.09,225.94
170,1,ec,627.5,309.28
170,0,er,699.01,315.77
170,0,gc,565.27,126.61
170,0,gr,618.52,112.19
170,0,hp,902.71,161.39
171,0,ec,590.71,345.04
171,1,er,884.25,371.73
171,0,gc,774.64,145.76
171,0,gr,815.35,148.28
171,0,hp,745.93,172.99
172,0,ec,571.47,299.97
172,0,er,696.42,317.33
172,1,gc,732.16,112.29
172,0,gr,721.6,95.678
172,0,hp,749.5,173.02
173,0,ec,633.56,305.42
173,0,er,643.4,273.62
173,1,gc,461.29,117.15
173,0,gr,609.41,113.8
173,0,hp,811.23,143.66
174,0,ec,982.74,481.83
174,0,er,1051.3,434.05
174,0,gc,834.94,181.13
174,1,gr,974.41,136.74
174,0,hp,1169.1,222.22
175,0,ec,1090.4,656.01
175,0,er,1301.6,617.96
175,1,gc,999.61,225.2
175,0,gr,1091.9,183.47
175,0,hp,1357.5,291.61
176,0,ec,731.18,429.89
176,0,er,830.81,384.02
176,1,gc,815.01,128.41
176,0,gr,808.62,160.79
176,0,hp,968.09,227.96
177,0,ec,803.14,395.59
177,0,er,910.79,410.63
177,1,gc,766.43,163.41
177,0,gr,855.07,127.79
177,0,hp,878.21,212.14
178,0,ec,797.01,431.66
178,0,er,784.7,357.99
178,1,gc,699.36,173.97
178,0,gr,739.59,137.7
178,0,hp,977.82,218.29
179,0,ec,999.32,506.39
179,0,er,1129.5,469.1
179,0,gc,831.35,192.49
179,1,gr,1031.6,182.07
179,0,hp,1165.7,238.26
180,0,ec,864.36,527.33
180,0,er,1074,444.04
180,0,gc,891.21,189.43
180,1,gr,948.24,152.95
180,0,hp,1163.8,239.53
181,0,ec,1024.7,539.64
181,1,er,1101.6,483.42
181,0,gc,908.85,204.84
181,0,gr,1268.5,182.85
181,0,hp,1386.8,276.01
182,0,ec,914.03,505.73
182,0,er,1071.8,513.46
182,1,gc,882.75,196.02
182,0,gr,987.93,171.9
182,0,hp,1242.3,250.6
183,0,ec,615.25,466.14
183,0,er,1095.7,407.9
183,1,gc,744.18,176.33
183,0,gr,783.57,132.93
183,0,hp,966.42,233.42
184,0,ec,759.93,472.16
184,0,er,1011,457.24
184,1,gc,776.22,171.35
184,0,gr,979.6,181.56
184,0,hp,1102.9,176.56
185,0,ec,726.98,399.74
185,0,er,781.66,417.19
185,1,gc,748.78,167.03
185,0,gr,1001.6,160.29
185,0,hp,1050.6,238.77
186,0,ec,851.57,484.95
186,0,er,1086.1,446.05
186,1,gc,1009.7,205.49
186,0,gr,961.55,170.82
186,0,hp,1128.6,262.09
187,0,ec,874.3,514.09
