Visit,Discount,Target,Distant,Income,Gender
1,22,0,4.043096158,152,0
0,82,0,4.043096158,152,0
0,0,1,4.043096158,152,0
1,0,1,4.043096158,152,0
2,0,0,4.043096158,152,0
0,26,0,4.043096158,152,0
0,49,0,4.043096158,152,0
0,0,1,4.043096158,152,0
0,96,0,4.043096158,152,0
1,15,1,4.043096158,152,0
2,0,0,4.043096158,152,0
1,90,1,4.043096158,152,0
0,0,0,4.043096158,152,0
0,30,0,4.043096158,152,0
0,0,1,4.043096158,152,0
0,96,1,4.043096158,152,0
1,73,1,4.043096158,152,0
1,99,1,4.043096158,152,0
1,65,0,4.043096158,152,0
1,0,1,4.043096158,152,0
0,0,1,4.043096158,152,0
1,0,1,4.043096158,152,0
2,82,0,4.043096158,152,0
0,0,0,4.043096158,152,0
2,0,1,4.043096158,152,0
0,0,0,4.043096158,152,0
0,0,1,4.043096158,152,0
0,88,0,2.640720272,177,1
2,63,0,2.640720272,177,1
2,69,1,2.640720272,177,1
0,0,1,2.640720272,177,1
0,44,1,2.640720272,177,1
0,33,0,2.640720272,177,1
1,0,0,2.640720272,177,1
0,0,0,2.640720272,177,1
1,0,1,2.640720272,177,1
0,58,0,2.640720272,177,1
1,0,1,2.640720272,177,1
0,0,1,2.640720272,177,1
1,33,1,2.640720272,177,1
0,0,0,2.640720272,177,1
0,29,0,2.640720272,177,1
0,36,1,2.640720272,177,1
0,0,1,2.640720272,177,1
0,0,1,2.640720272,177,1
1,0,0,2.640720272,177,1
0,0,1,2.640720272,177,1
0,0,0,2.640720272,177,1
1,69,1,2.640720272,177,1
0,0,0,2.640720272,177,1
0,95,0,2.640720272,177,1
0,0,1,2.640720272,177,1
1,16,1,2.640720272,177,1
3,0,0,2.640720272,177,1
0,0,0,2.640720272,177,1
0,85,1,2.640720272,177,1
2,52,0,2.640720272,177,1
1,0,0,2.640720272,177,1
0,0,1,2.640720272,177,1
1,53,1,2.640720272,177,1
1,0,0,2.640720272,177,1
0,0,0,2.640720272,177,1
2,94,0,2.640720272,177,1
0,0,1,2.640720272,177,1
0,0,0,2.640720272,177,1
0,55,1,2.640720272,177,1
1,0,0,2.640720272,177,1
1,0,0,2.640720272,177,1
0,0,0,2.640720272,177,1
0,52,0,2.640720272,177,1
0,50,0,2.640720272,177,1
1,62,1,2.640720272,177,1
0,35,1,2.640720272,177,1
0,0,1,2.640720272,177,1
0,97,1,2.640720272,177,1
0,0,1,2.640720272,177,1
0,15,1,2.640720272,177,1
0,0,0,6.305983106,193,0
0,70,1,6.305983106,193,0
0,65,0,6.305983106,193,0
0,2,0,6.305983106,193,0
0,7,1,6.305983106,193,0
0,0,0,6.305983106,193,0
0,0,1,6.305983106,193,0
1,0,0,6.305983106,193,0
1,0,0,6.305983106,193,0
0,100,1,6.305983106,193,0
1,0,0,6.305983106,193,0
0,95,1,6.305983106,193,0
1,0,0,6.305983106,193,0
0,54,0,6.305983106,193,0
0,13,1,6.305983106,193,0
1,23,0,6.305983106,193,0
0,0,1,6.305983106,193,0
0,32,0,6.305983106,193,0
0,28,1,6.305983106,193,0
0,0,0,6.305983106,193,0
0,71,0,6.305983106,193,0
0,0,0,6.305983106,193,0
1,0,1,6.305983106,193,0
0,51,0,6.305983106,193,0
0,0,1,6.305983106,193,0
0,93,1,6.305983106,193,0
0,64,1,6.305983106,193,0
0,87,1,6.305983106,193,0
1,18,1,6.305983106,193,0
1,0,0,6.305983106,193,0
1,86,0,6.305983106,193,0
0,85,1,6.305983106,193,0
1,0,0,6.305983106,193,0
0,8,0,6.305983106,193,0
0,0,1,6.305983106,193,0
0,0,0,6.305983106,193,0
1,0,1,6.305983106,193,0
1,0,1,6.305983106,193,0
0,73,0,6.305983106,193,0
1,26,1,6.305983106,193,0
0,0,1,6.305983106,193,0
0,52,0,6.305983106,193,0
1,55,1,6.305983106,193,0
1,40,1,6.305983106,193,0
0,0,1,6.305983106,193,0
1,67,0,6.305983106,193,0
0,4,0,6.305983106,193,0
1,0,1,6.305983106,193,0
0,43,1,6.305983106,193,0
0,10,1,6.305983106,193,0
2,0,1,4.96077954,68,0
0,0,0,4.96077954,68,0
0,0,0,4.96077954,68,0
1,0,1,4.96077954,68,0
0,0,0,4.96077954,68,0
0,42,1,4.96077954,68,0
0,28,0,4.96077954,68,0
0,0,0,4.96077954,68,0
0,0,1,4.96077954,68,0
1,0,1,4.96077954,68,0
0,19,1,4.96077954,68,0
0,0,0,4.96077954,68,0
0,52,0,4.96077954,68,0
0,17,1,4.96077954,68,0
0,67,1,4.96077954,68,0
0,77,1,4.96077954,68,0
0,0,1,4.96077954,68,0
1,33,0,4.96077954,68,0
0,18,0,4.96077954,68,0
0,0,1,4.96077954,68,0
0,0,1,4.96077954,68,0
1,0,1,4.96077954,68,0
0,0,1,4.96077954,68,0
0,0,1,4.96077954,68,0
1,0,1,4.96077954,68,0
0,0,0,4.96077954,68,0
0,0,1,4.96077954,68,0
0,0,0,4.96077954,68,0
1,89,0,4.96077954,68,0
0,43,1,4.96077954,68,0
0,72,0,4.96077954,68,0
1,0,1,4.96077954,68,0
0,0,1,4.96077954,68,0
0,0,0,4.96077954,68,0
0,0,1,4.96077954,68,0
0,32,0,4.96077954,68,0
0,0,1,4.96077954,68,0
0,0,1,4.96077954,68,0
0,0,1,4.96077954,68,0
1,10,1,4.96077954,68,0
0,0,0,4.96077954,68,0
1,0,1,4.96077954,68,0
0,0,0,4.96077954,68,0
0,0,0,4.96077954,68,0
0,11,0,4.96077954,68,0
0,90,1,4.96077954,68,0
0,27,0,4.96077954,68,0
1,0,0,4.96077954,68,0
0,0,0,4.96077954,68,0
1,0,0,4.96077954,68,0
2,64,1,2.998387369,281,0
4,79,0,2.998387369,281,0
1,58,1,2.998387369,281,0
3,8,1,2.998387369,281,0
0,94,0,2.998387369,281,0
1,0,1,2.998387369,281,0
0,0,1,2.998387369,281,0
1,70,0,2.998387369,281,0
0,0,0,2.998387369,281,0
1,0,1,2.998387369,281,0
0,23,1,2.998387369,281,0
2,0,0,2.998387369,281,0
0,54,1,2.998387369,281,0
0,22,0,2.998387369,281,0
2,13,0,2.998387369,281,0
1,0,0,2.998387369,281,0
1,90,1,2.998387369,281,0
2,0,1,2.998387369,281,0
1,0,0,2.998387369,281,0
2,0,0,2.998387369,281,0
4,0,1,2.998387369,281,0
1,17,1,2.998387369,281,0
4,25,0,2.998387369,281,0
2,28,1,2.998387369,281,0
1,10,1,2.998387369,281,0
2,85,0,2.998387369,281,0
1,0,1,2.998387369,281,0
0,0,0,2.998387369,281,0
3,81,1,2.998387369,281,0
1,0,0,2.998387369,281,0
2,11,1,2.998387369,281,0
0,0,0,2.998387369,281,0
0,24,0,2.998387369,281,0
1,0,0,2.998387369,281,0
2,0,1,2.998387369,281,0
2,0,0,2.998387369,281,0
0,66,0,2.998387369,281,0
0,0,1,2.998387369,281,0
1,0,1,2.998387369,281,0
0,95,1,2.998387369,281,0
2,18,0,2.998387369,281,0
1,37,1,2.998387369,281,0
1,0,0,2.998387369,281,0
1,0,1,2.998387369,281,0
1,5,1,2.998387369,281,0
0,0,1,2.998387369,281,0
1,46,1,2.998387369,281,0
0,0,0,2.998387369,281,0
0,37,1,2.998387369,281,0
2,12,1,2.998387369,281,0
1,0,1,2.530269772,290,0
1,30,1,2.530269772,290,0
1,0,1,2.530269772,290,0
5,10,0,2.530269772,290,0
1,19,1,2.530269772,290,0
1,0,1,2.530269772,290,0
2,0,0,2.530269772,290,0
0,0,0,2.530269772,290,0
1,0,1,2.530269772,290,0
2,0,1,2.530269772,290,0
2,31,1,2.530269772,290,0
1,85,0,2.530269772,290,0
2,0,0,2.530269772,290,0
1,34,0,2.530269772,290,0
0,50,1,2.530269772,290,0
1,18,1,2.530269772,290,0
1,0,0,2.530269772,290,0
1,0,0,2.530269772,290,0
4,0,1,2.530269772,290,0
3,0,1,2.530269772,290,0
1,7,0,2.530269772,290,0
2,0,0,2.530269772,290,0
2,0,1,2.530269772,290,0
1,38,0,2.530269772,290,0
1,31,1,2.530269772,290,0
2,70,0,2.530269772,290,0
3,0,0,2.530269772,290,0
2,0,0,2.530269772,290,0
0,0,1,2.530269772,290,0
3,60,0,2.530269772,290,0
2,0,1,2.530269772,290,0
0,78,0,2.530269772,290,0
0,0,1,2.530269772,290,0
0,0,1,2.530269772,290,0
0,0,0,2.530269772,290,0
1,0,1,2.530269772,290,0
2,57,1,2.530269772,290,0
1,100,1,2.530269772,290,0
1,1,1,2.530269772,290,0
0,0,1,2.530269772,290,0
0,0,0,2.530269772,290,0
1,33,1,2.530269772,290,0
3,45,0,2.530269772,290,0
0,0,0,2.530269772,290,0
2,0,1,2.530269772,290,0
1,0,0,2.530269772,290,0
1,0,0,2.530269772,290,0
1,35,0,2.530269772,290,0
1,25,1,2.530269772,290,0
3,37,1,2.530269772,290,0
1,0,1,6.673790517,114,1
0,0,0,6.673790517,114,1
0,30,1,6.673790517,114,1
1,19,0,6.673790517,114,1
0,0,0,6.673790517,114,1
0,0,0,6.673790517,114,1
0,7,1,6.673790517,114,1
0,0,1,6.673790517,114,1
0,43,0,6.673790517,114,1
0,0,1,6.673790517,114,1
1,100,1,6.673790517,114,1
0,87,1,6.673790517,114,1
0,62,1,6.673790517,114,1
0,40,0,6.673790517,114,1
0,0,1,6.673790517,114,1
0,78,0,6.673790517,114,1
0,0,0,6.673790517,114,1
1,0,0,6.673790517,114,1
0,0,0,6.673790517,114,1
1,0,1,6.673790517,114,1
0,93,0,6.673790517,114,1
0,13,0,6.673790517,114,1
0,0,0,6.673790517,114,1
0,0,1,6.673790517,114,1
0,0,1,6.673790517,114,1
0,0,1,6.673790517,114,1
0,0,0,6.673790517,114,1
0,0,1,6.673790517,114,1
1,0,1,6.673790517,114,1
0,96,1,6.673790517,114,1
0,98,0,6.673790517,114,1
0,32,1,6.673790517,114,1
0,0,0,6.673790517,114,1
0,66,1,6.673790517,114,1
0,47,1,6.673790517,114,1
0,0,1,6.673790517,114,1
0,50,0,6.673790517,114,1
0,56,1,6.673790517,114,1
0,49,0,6.673790517,114,1
0,16,1,6.673790517,114,1
0,95,0,6.673790517,114,1
2,70,1,6.673790517,114,1
0,0,0,6.673790517,114,1
1,0,1,6.673790517,114,1
1,0,1,6.673790517,114,1
0,0,0,6.673790517,114,1
0,0,1,6.673790517,114,1
1,5,0,6.673790517,114,1
0,0,1,6.673790517,114,1
0,0,0,6.673790517,114,1
1,0,1,3.229962079,88,0
0,0,0,3.229962079,88,0
1,0,0,3.229962079,88,0
1,0,0,3.229962079,88,0
0,0,0,3.229962079,88,0
0,0,0,3.229962079,88,0
0,0,1,3.229962079,88,0
0,0,0,3.229962079,88,0
0,0,0,3.229962079,88,0
0,36,0,3.229962079,88,0
0,0,1,3.229962079,88,0
2,0,0,3.229962079,88,0
0,0,0,3.229962079,88,0
0,44,0,3.229962079,88,0
1,20,1,3.229962079,88,0
0,23,1,3.229962079,88,0
1,71,1,3.229962079,88,0
0,49,1,3.229962079,88,0
1,37,0,3.229962079,88,0
0,0,0,3.229962079,88,0
1,93,0,3.229962079,88,0
0,0,0,3.229962079,88,0
0,0,0,3.229962079,88,0
0,0,0,3.229962079,88,0
1,67,0,3.229962079,88,0
0,0,1,3.229962079,88,0
0,1,1,3.229962079,88,0
0,43,0,3.229962079,88,0
0,0,1,3.229962079,88,0
0,43,0,3.229962079,88,0
1,6,0,3.229962079,88,0
0,0,1,3.229962079,88,0
2,11,1,3.229962079,88,0
1,2,0,3.229962079,88,0
0,86,1,3.229962079,88,0
1,0,1,3.229962079,88,0
0,31,0,3.229962079,88,0
1,0,0,3.229962079,88,0
0,0,0,3.229962079,88,0
0,0,0,3.229962079,88,0
0,0,1,3.229962079,88,0
1,0,0,3.229962079,88,0
0,86,1,3.229962079,88,0
1,0,0,3.229962079,88,0
1,0,0,3.229962079,88,0
1,44,1,3.229962079,88,0
0,53,0,3.229962079,88,0
0,0,1,3.229962079,88,0
0,0,0,3.229962079,88,0
1,0,0,3.229962079,88,0
0,0,0,6.94554752,54,0
0,0,0,6.94554752,54,0
0,92,1,6.94554752,54,0
0,0,0,6.94554752,54,0
0,0,0,6.94554752,54,0
1,0,1,6.94554752,54,0
0,0,1,6.94554752,54,0
0,16,0,6.94554752,54,0
1,65,1,6.94554752,54,0
0,0,1,6.94554752,54,0
1,17,1,6.94554752,54,0
0,32,0,6.94554752,54,0
1,88,1,6.94554752,54,0
0,0,0,6.94554752,54,0
0,73,1,6.94554752,54,0
1,19,0,6.94554752,54,0
0,0,1,6.94554752,54,0
0,0,0,6.94554752,54,0
1,78,1,6.94554752,54,0
0,64,0,6.94554752,54,0
0,21,1,6.94554752,54,0
0,0,0,6.94554752,54,0
0,68,1,6.94554752,54,0
0,0,1,6.94554752,54,0
0,46,1,6.94554752,54,0
0,0,0,6.94554752,54,0
0,0,0,6.94554752,54,0
1,53,1,6.94554752,54,0
0,0,1,6.94554752,54,0
1,22,1,6.94554752,54,0
0,23,1,6.94554752,54,0
0,0,0,6.94554752,54,0
0,14,0,6.94554752,54,0
0,54,1,6.94554752,54,0
0,0,0,6.94554752,54,0
1,0,1,6.94554752,54,0
0,35,0,6.94554752,54,0
0,0,1,6.94554752,54,0
0,15,1,6.94554752,54,0
0,87,0,6.94554752,54,0
0,46,1,6.94554752,54,0
0,18,0,6.94554752,54,0
0,0,1,6.94554752,54,0
0,0,0,6.94554752,54,0
0,0,1,6.94554752,54,0
0,0,1,6.94554752,54,0
1,50,1,6.94554752,54,0
0,83,1,6.94554752,54,0
0,0,0,6.94554752,54,0
0,69,1,6.94554752,54,0
0,3,1,6.589719294,80,1
0,56,1,6.589719294,80,1
0,0,0,6.589719294,80,1
0,0,0,6.589719294,80,1
0,0,1,6.589719294,80,1
0,0,1,6.589719294,80,1
0,61,0,6.589719294,80,1
0,0,1,6.589719294,80,1
0,62,1,6.589719294,80,1
0,0,1,6.589719294,80,1
0,6,0,6.589719294,80,1
1,100,0,6.589719294,80,1
0,0,0,6.589719294,80,1
0,0,0,6.589719294,80,1
0,0,1,6.589719294,80,1
0,72,1,6.589719294,80,1
0,57,0,6.589719294,80,1
1,0,0,6.589719294,80,1
0,23,0,6.589719294,80,1
0,24,0,6.589719294,80,1
0,23,1,6.589719294,80,1
0,35,1,6.589719294,80,1
0,19,0,6.589719294,80,1
0,47,1,6.589719294,80,1
0,44,0,6.589719294,80,1
0,0,0,6.589719294,80,1
0,0,1,6.589719294,80,1
0,10,0,6.589719294,80,1
0,0,0,6.589719294,80,1
0,0,0,6.589719294,80,1
0,0,0,6.589719294,80,1
0,0,1,6.589719294,80,1
0,84,1,6.589719294,80,1
0,15,0,6.589719294,80,1
0,0,1,6.589719294,80,1
0,0,1,6.589719294,80,1
0,0,0,6.589719294,80,1
0,82,0,6.589719294,80,1
0,0,1,6.589719294,80,1
0,32,0,6.589719294,80,1
0,0,0,6.589719294,80,1
0,0,0,6.589719294,80,1
0,0,0,6.589719294,80,1
1,90,0,6.589719294,80,1
0,0,0,6.589719294,80,1
0,0,1,6.589719294,80,1
0,0,0,6.589719294,80,1
1,79,0,6.589719294,80,1
0,20,1,6.589719294,80,1
0,0,0,6.589719294,80,1
0,54,0,5.385663647,75,0
1,1,0,5.385663647,75,0
0,0,0,5.385663647,75,0
1,16,1,5.385663647,75,0
0,0,0,5.385663647,75,0
1,67,0,5.385663647,75,0
0,0,1,5.385663647,75,0
1,3,0,5.385663647,75,0
0,39,1,5.385663647,75,0
0,0,1,5.385663647,75,0
1,0,1,5.385663647,75,0
1,26,0,5.385663647,75,0
0,36,0,5.385663647,75,0
0,0,0,5.385663647,75,0
0,86,1,5.385663647,75,0
0,41,0,5.385663647,75,0
0,23,0,5.385663647,75,0
0,2,0,5.385663647,75,0
0,0,1,5.385663647,75,0
0,0,0,5.385663647,75,0
1,0,1,5.385663647,75,0
0,0,0,5.385663647,75,0
0,73,1,5.385663647,75,0
0,0,0,5.385663647,75,0
0,0,0,5.385663647,75,0
1,0,1,5.385663647,75,0
0,72,0,5.385663647,75,0
0,0,1,5.385663647,75,0
0,11,1,5.385663647,75,0
0,91,0,5.385663647,75,0
0,39,1,5.385663647,75,0
0,95,1,5.385663647,75,0
0,0,0,5.385663647,75,0
0,0,1,5.385663647,75,0
0,11,1,5.385663647,75,0
0,64,1,5.385663647,75,0
0,7,1,5.385663647,75,0
0,42,1,5.385663647,75,0
0,8,0,5.385663647,75,0
0,0,1,5.385663647,75,0
0,0,1,5.385663647,75,0
0,0,1,5.385663647,75,0
1,0,0,5.385663647,75,0
0,22,1,5.385663647,75,0
1,0,0,5.385663647,75,0
0,0,0,5.385663647,75,0
0,29,0,5.385663647,75,0
0,47,1,5.385663647,75,0
0,65,0,5.385663647,75,0
1,0,1,5.385663647,75,0
0,0,0,7.628478145,137,0
0,0,1,7.628478145,137,0
1,0,1,7.628478145,137,0
0,0,1,7.628478145,137,0
0,23,1,7.628478145,137,0
0,0,0,7.628478145,137,0
1,0,1,7.628478145,137,0
0,0,1,7.628478145,137,0
0,0,1,7.628478145,137,0
1,48,1,7.628478145,137,0
1,1,1,7.628478145,137,0
0,0,0,7.628478145,137,0
0,0,1,7.628478145,137,0
0,0,0,7.628478145,137,0
0,0,1,7.628478145,137,0
0,0,0,7.628478145,137,0
1,20,1,7.628478145,137,0
1,0,0,7.628478145,137,0
0,0,0,7.628478145,137,0
1,0,0,7.628478145,137,0
0,0,0,7.628478145,137,0
1,100,0,7.628478145,137,0
0,1,0,7.628478145,137,0
0,12,0,7.628478145,137,0
1,90,1,7.628478145,137,0
0,0,1,7.628478145,137,0
0,0,0,7.628478145,137,0
0,54,1,7.628478145,137,0
0,5,0,7.628478145,137,0
1,100,1,7.628478145,137,0
1,94,1,7.628478145,137,0
1,87,0,7.628478145,137,0
0,77,1,7.628478145,137,0
0,0,0,7.628478145,137,0
0,0,0,7.628478145,137,0
1,26,1,7.628478145,137,0
1,0,1,7.628478145,137,0
0,43,1,7.628478145,137,0
1,27,1,7.628478145,137,0
1,0,1,7.628478145,137,0
1,0,0,7.628478145,137,0
0,50,0,7.628478145,137,0
1,0,0,7.628478145,137,0
1,75,0,7.628478145,137,0
0,0,1,7.628478145,137,0
0,71,0,7.628478145,137,0
0,2,0,7.628478145,137,0
1,0,0,7.628478145,137,0
0,0,0,7.628478145,137,0
0,50,0,7.628478145,137,0
1,0,0,6.962046473,285,1
2,0,1,6.962046473,285,1
0,61,0,6.962046473,285,1
0,9,0,6.962046473,285,1
3,0,1,6.962046473,285,1
0,74,1,6.962046473,285,1
1,69,0,6.962046473,285,1
3,79,1,6.962046473,285,1
0,0,1,6.962046473,285,1
1,0,1,6.962046473,285,1
0,50,0,6.962046473,285,1
2,0,1,6.962046473,285,1
0,0,0,6.962046473,285,1
0,35,1,6.962046473,285,1
0,0,1,6.962046473,285,1
0,0,0,6.962046473,285,1
1,0,0,6.962046473,285,1
1,0,0,6.962046473,285,1
1,10,1,6.962046473,285,1
1,34,1,6.962046473,285,1
0,0,0,6.962046473,285,1
0,84,1,6.962046473,285,1
3,86,0,6.962046473,285,1
0,0,1,6.962046473,285,1
0,0,0,6.962046473,285,1
2,51,1,6.962046473,285,1
0,11,0,6.962046473,285,1
1,38,1,6.962046473,285,1
0,84,1,6.962046473,285,1
1,0,0,6.962046473,285,1
2,78,0,6.962046473,285,1
1,0,1,6.962046473,285,1
0,96,1,6.962046473,285,1
2,0,0,6.962046473,285,1
1,99,0,6.962046473,285,1
2,98,1,6.962046473,285,1
0,0,1,6.962046473,285,1
1,0,1,6.962046473,285,1
1,36,0,6.962046473,285,1
2,54,1,6.962046473,285,1
0,0,0,6.962046473,285,1
0,100,1,6.962046473,285,1
0,0,1,6.962046473,285,1
1,0,1,6.962046473,285,1
3,22,0,6.962046473,285,1
1,6,0,6.962046473,285,1
0,40,0,6.962046473,285,1
0,0,1,6.962046473,285,1
1,0,0,6.962046473,285,1
1,0,0,6.962046473,285,1
0,0,0,0.551596918,208,0
1,0,1,0.551596918,208,0
1,29,0,0.551596918,208,0
0,0,0,0.551596918,208,0
0,91,1,0.551596918,208,0
0,0,0,0.551596918,208,0
1,94,1,0.551596918,208,0
1,0,0,0.551596918,208,0
0,43,1,0.551596918,208,0
1,0,1,0.551596918,208,0
2,0,1,0.551596918,208,0
0,32,0,0.551596918,208,0
1,0,0,0.551596918,208,0
0,46,1,0.551596918,208,0
0,23,0,0.551596918,208,0
1,61,0,0.551596918,208,0
0,38,1,0.551596918,208,0
0,37,1,0.551596918,208,0
1,0,1,0.551596918,208,0
1,46,1,0.551596918,208,0
1,64,1,0.551596918,208,0
0,0,1,0.551596918,208,0
0,86,1,0.551596918,208,0
1,51,0,0.551596918,208,0
0,28,1,0.551596918,208,0
0,0,0,0.551596918,208,0
2,50,1,0.551596918,208,0
1,84,1,0.551596918,208,0
0,0,0,0.551596918,208,0
2,0,0,0.551596918,208,0
0,58,1,0.551596918,208,0
1,4,1,0.551596918,208,0
2,0,1,0.551596918,208,0
1,0,1,0.551596918,208,0
0,0,0,0.551596918,208,0
1,0,1,0.551596918,208,0
0,99,0,0.551596918,208,0
0,0,0,0.551596918,208,0
2,0,0,0.551596918,208,0
2,77,1,0.551596918,208,0
0,76,1,0.551596918,208,0
0,0,0,0.551596918,208,0
0,0,1,0.551596918,208,0
1,61,0,0.551596918,208,0
0,0,0,0.551596918,208,0
0,0,1,0.551596918,208,0
0,0,1,0.551596918,208,0
0,8,1,0.551596918,208,0
1,0,1,0.551596918,208,0
1,28,0,0.551596918,208,0
0,0,0,5.634058574,108,1
0,0,1,5.634058574,108,1
0,0,1,5.634058574,108,1
0,0,1,5.634058574,108,1
0,34,0,5.634058574,108,1
0,72,0,5.634058574,108,1
0,75,0,5.634058574,108,1
0,51,0,5.634058574,108,1
0,0,1,5.634058574,108,1
0,10,0,5.634058574,108,1
1,0,1,5.634058574,108,1
0,12,1,5.634058574,108,1
0,29,1,5.634058574,108,1
0,0,0,5.634058574,108,1
0,0,1,5.634058574,108,1
0,0,1,5.634058574,108,1
1,52,1,5.634058574,108,1
0,92,1,5.634058574,108,1
0,0,1,5.634058574,108,1
1,2,1,5.634058574,108,1
0,0,0,5.634058574,108,1
0,13,0,5.634058574,108,1
0,0,1,5.634058574,108,1
1,77,1,5.634058574,108,1
0,27,0,5.634058574,108,1
0,68,1,5.634058574,108,1
0,30,0,5.634058574,108,1
0,0,0,5.634058574,108,1
1,0,1,5.634058574,108,1
2,70,0,5.634058574,108,1
0,87,0,5.634058574,108,1
0,42,1,5.634058574,108,1
1,26,0,5.634058574,108,1
0,39,0,5.634058574,108,1
0,0,0,5.634058574,108,1
0,0,1,5.634058574,108,1
0,0,0,5.634058574,108,1
2,48,0,5.634058574,108,1
0,0,1,5.634058574,108,1
0,0,1,5.634058574,108,1
0,95,1,5.634058574,108,1
1,0,1,5.634058574,108,1
1,0,1,5.634058574,108,1
0,45,0,5.634058574,108,1
0,62,0,5.634058574,108,1
1,0,1,5.634058574,108,1
0,0,0,5.634058574,108,1
0,53,1,5.634058574,108,1
0,77,1,5.634058574,108,1
0,0,1,5.634058574,108,1
0,68,0,1.503197104,67,0
0,0,1,1.503197104,67,0
1,0,0,1.503197104,67,0
1,0,0,1.503197104,67,0
0,37,0,1.503197104,67,0
1,70,0,1.503197104,67,0
2,0,0,1.503197104,67,0
0,97,1,1.503197104,67,0
0,0,1,1.503197104,67,0
0,85,1,1.503197104,67,0
1,0,0,1.503197104,67,0
0,98,0,1.503197104,67,0
2,35,0,1.503197104,67,0
0,67,1,1.503197104,67,0
2,0,1,1.503197104,67,0
1,18,0,1.503197104,67,0
0,8,1,1.503197104,67,0
0,9,0,1.503197104,67,0
2,0,1,1.503197104,67,0
0,68,0,1.503197104,67,0
0,0,1,1.503197104,67,0
0,0,0,1.503197104,67,0
0,54,1,1.503197104,67,0
0,0,0,1.503197104,67,0
0,0,0,1.503197104,67,0
0,0,1,1.503197104,67,0
0,87,0,1.503197104,67,0
1,71,1,1.503197104,67,0
0,0,1,1.503197104,67,0
1,26,1,1.503197104,67,0
1,83,0,1.503197104,67,0
0,41,0,1.503197104,67,0
2,55,0,1.503197104,67,0
0,86,0,1.503197104,67,0
0,28,0,1.503197104,67,0
0,0,0,1.503197104,67,0
0,4,0,1.503197104,67,0
0,0,1,1.503197104,67,0
0,0,1,1.503197104,67,0
0,0,0,1.503197104,67,0
0,0,0,1.503197104,67,0
1,0,0,1.503197104,67,0
0,10,0,1.503197104,67,0
1,0,0,1.503197104,67,0
0,69,1,1.503197104,67,0
1,97,0,1.503197104,67,0
1,0,0,1.503197104,67,0
0,59,0,1.503197104,67,0
0,0,0,1.503197104,67,0
0,0,1,1.503197104,67,0
0,45,0,3.301593149,152,0
0,0,1,3.301593149,152,0
0,88,1,3.301593149,152,0
0,0,0,3.301593149,152,0
0,15,1,3.301593149,152,0
0,0,1,3.301593149,152,0
0,0,0,3.301593149,152,0
1,12,1,3.301593149,152,0
0,0,1,3.301593149,152,0
1,0,1,3.301593149,152,0
1,17,0,3.301593149,152,0
2,0,0,3.301593149,152,0
0,81,0,3.301593149,152,0
1,0,1,3.301593149,152,0
0,70,0,3.301593149,152,0
0,0,1,3.301593149,152,0
0,42,0,3.301593149,152,0
0,27,1,3.301593149,152,0
0,2,1,3.301593149,152,0
2,0,0,3.301593149,152,0
0,0,1,3.301593149,152,0
1,75,0,3.301593149,152,0
